	bodymass_median	female_sexmatlength_mm
Cephalorhynchus_commersonii	72400	1300
Neophocaena_phocaenoides	32500	1300
Sotalia_fluviatilis	46350	1320
Phocoena_sinus	45000	1350
Pontoporia_blainvillei	40500	1370
Phocoena_phocoena	55000	1430
Cephalorhynchus_eutropia	45000	1500
Phocoena_spinipinnis	60000	1530
Cephalorhynchus_heavisidii	40000	1590
Inia_geoffrensis	125625	1600
Stenella_longirostris	50500	1650
Lagenorhynchus_albirostris	181440	1740
Phocoenoides_dalli	108864	1740
Lagenorhynchus_obscurus	127500	1749
Lagenorhynchus_obliquidens	114432	1775
Phocoena_dioptrica	65000	1830
Stenella_frontalis	110000	1830
Delphinus_delphis	82000	1950
Lissodelphis_borealis	113000	2000
Platanista_gangetica	98750	2000
Platanista_minor	82500	2000
Lagenorhynchus_acutus	194761	2010
Lissodelphis_peronii	116000	2060
Kogia_simus	183066.67	2100
Lagenorhynchus_australis	120000	2100
Feresa_attenuata	170000	2200
Tursiops_truncatus	332500	2200
Peponocephala_electra	206000	2300
Sousa_chinensis	280000	2440
Lipotes_vexillifer	123500	2500
Globicephala_melas	816480	2650
Kogia_breviceps	431500	2660
Grampus_griseus	387500	2770
Globicephala_macrorhynchus	726000	3160
Pseudorca_crassidens	1360000	3660
Mesoplodon_bowdoini	2600000	4200
Mesoplodon_europaeus	5600000	4500
Orcinus_orca	5443200	4600
Ziphius_cavirostris	4775000	5800
Hyperoodon_ampullatus	3628800	6000
Balaenoptera_acutorostrata	6000000	7150
Physeter_catodon	14061600	8300
Berardius_arnuxii	7000000	10000
Berardius_bairdii	11380000	10000
Balaenoptera_edeni	20000000	12000
Balaenoptera_borealis	24000000	13300
Balaenoptera_physalus	50802080	18300
Balaenoptera_musculus	163040000	21000
