"Id"	"Sireid"	"Damid"	"MGdamid"	"MGsireid"	"PGdamid"	"PGsireid"	"Batch"	"Ptype1"	"Ptype2"	"Ptype3"	"Ftype1"	"Ftype2"	"Ftype3"
2001	1001	1101	101	1	150	10	1	315.76	452.03	340.18	63.52	182.55	104.72
2002	1001	1101	101	1	150	10	1	268.11	278.17	302.61	86.12	212.11	134.31
2003	1001	1101	101	1	150	10	1	401.78	509.54	424.71	70.11	192.29	109.75
2004	1001	1101	101	1	150	10	1	235.54	175.46	301.98	107.31	226.41	150.23
2005	1001	1101	101	1	150	10	1	153.97	178.08	182.74	68.37	192.66	111.33
2006	1002	1102	101	1	145	10	2	285.12	361.14	365.69	105.99	175.15	155.73
2007	1002	1102	101	1	145	10	2	225.24	500.41	269.21	67.55	137.43	109.26
2008	1002	1102	101	1	145	10	2	230.63	329.02	284.39	78.92	147.86	124.61
2009	1002	1102	101	1	145	10	2	242.22	274.96	410.65	197.34	266.86	236.36
2010	1002	1102	101	1	145	10	2	285.07	342.99	331.76	76.04	142.75	120.22
2011	1003	1103	101	1	140	10	1	334.71	453.79	466.07	173.6	310.96	239.11
2012	1003	1103	101	1	140	10	1	122.63	292.23	114.93	31.84	166.9	98.65
2013	1003	1103	101	1	140	10	1	305.31	300.07	409.25	145.31	281.46	213.65
2014	1003	1103	101	1	140	10	1	409.94	468.48	494.89	128.02	267.22	199.46
2015	1003	1103	101	1	140	10	1	224.57	356.9	404.56	228.69	361.37	295.51
2016	1004	1104	101	1	135	10	2	279.12	248.37	273.78	21.48	155.63	100.29
2017	1004	1104	101	1	135	10	2	346.67	315.78	410.36	88.36	217.34	169.83
2018	1004	1104	101	1	135	10	2	326.7	285.54	347.52	48.15	171.96	127.54
2019	1004	1104	101	1	135	10	2	273.53	360.96	366.13	113.69	239.9	198.64
2020	1004	1104	101	1	135	10	2	197.59	273.03	291.29	119.25	253.01	197.89
2021	1005	1105	101	1	130	10	1	351.67	494.22	489.58	177.97	298.91	237.6
2022	1005	1105	101	1	130	10	1	259.24	292.85	253.92	38.21	161.55	102.29
2023	1005	1105	101	1	130	10	1	254.06	341.79	402.03	184.38	307.57	249.79
2024	1005	1105	101	1	130	10	1	199.26	364.22	197.65	45.02	177.64	112.9
2025	1005	1105	101	1	130	10	1	297.83	307.39	373.07	121.83	247.21	184.85
2026	1006	1106	106	1	149	9	2	301.56	310.32	456.23	185.72	264.85	239.02
2027	1006	1106	106	1	149	9	2	295.17	487.2	261.38	-9.75	66.17	36.34
2028	1006	1106	106	1	149	9	2	262.15	369.6	314.38	83.71	159.05	132.21
2029	1006	1106	106	1	149	9	2	320.71	551.54	422.52	121.26	194.18	177.29
2030	1006	1106	106	1	149	9	2	227.23	295.67	173.56	-26.64	50.92	21.55
2031	1007	1107	106	1	144	9	1	358.69	506.8	292.44	-17.68	48.12	43.86
2032	1007	1107	106	1	144	9	1	231.88	398.64	368.93	176.58	246.88	235.77
2033	1007	1107	106	1	144	9	1	97.18	206.54	354.64	305.96	374.13	370.11
2034	1007	1107	106	1	144	9	1	299.37	435.73	419.04	159.91	230.36	234.53
2035	1007	1107	106	1	144	9	1	220.67	342.44	260.62	79.81	140.86	145.5
2036	1008	1108	106	1	139	9	2	323.75	558.51	277.87	-13.59	91.59	43.45
2037	1008	1108	106	1	139	9	2	197.42	310.2	349.09	179.61	284.5	236.07
2038	1008	1108	106	1	139	9	2	305.07	398.98	259.61	-19.35	86.4	43.99
2039	1008	1108	106	1	139	9	2	47.93	201.35	90.14	69.16	183.68	127.03
2040	1008	1108	106	1	139	9	2	408.02	582.84	387.59	10.6	122.7	78.05
2041	1009	1109	106	1	134	9	1	303.82	504.12	219.85	-46.17	59.5	22.46
